year,annual_edition,category,artist,song_or_album,winner,url
2024,67,Album Of The Year,"Jack Antonoff, Aaron Dessner & Taylor Swift, producers; Zem Audu, Bella Blasko, Bryce Bordone, Serban Ghenea, David Hart, Mikey Freedom Hart, Sean Hutchinson, Oli Jacobs, Jonathan Low, Michael Riddleberger, Christopher Rowe, Laura Sisk & Evan Smith, engineers/mixers; Jack Antonoff, Aaron Dessner & Taylor Swift, songwriters; Randy Merrill, mastering engineer",THE TORTURED POETS DEPARTMENT,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Album Of The Year,Beyoncé,COWBOY CARTER,True,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Record Of The Year,"Giles Martin & Paul McCartney, producers; Geoff Emerick, Steve Genewick, Jon Jacobs, Greg McAllister, Steve Orchard, Keith Smith, Mark 'Spike' Stent & Bruce Sugar, engineers/mixers; Miles Showell, mastering engineer",Now And Then,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Record Of The Year,"Beyoncé, Nate Ferraro, Killah B & Raphael Saadiq, producers; Hotae Alexander Jang, Alex Nibley & Stuart White, engineers/mixers; Colin Leonard, mastering engineer",TEXAS HOLD 'EM,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Record Of The Year,"Julian Bunetta, producer; Julian Bunetta & Jeff Gunnell, engineers/mixers; Nathan Dantzler, mastering engineer",Espresso,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Record Of The Year,"Cirkut & A. G. Cook, producers; Cirkut & Manny Marroquin, engineers/mixers; Idania Valencia, mastering engineer",360,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Album Of The Year,"Jack Antonoff, Julian Bunetta, Ian Kirkpatrick & John Ryan, producers; Bryce Bordone, Julian Bunetta, Serban Ghenea, Jeff Gunnell, Oli Jacobs, Manny Marroquin, John Ryan & Laura Sisk, engineers/mixers; Amy Allen, Jack Antonoff, Julian Bunetta, Sabrina Carpenter, Ian Kirkpatrick, Julia Michaels & John Ryan, songwriters; Nathan Dantzler & Ruairi O'Flaherty, mastering engineers",Short n' Sweet,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Album Of The Year,"Charli xcx, Cirkut & A. G. Cook, producers; A. G. Cook, Tom Norris & Geoff Swan, engineers/mixers; Charlotte Aitchison, Henry Walter, Alexander Guy Cook, Finn Keane & Jonathan Christopher Shave, songwriters; Idania Valencia, mastering engineer",BRAT,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Album Of The Year,"Jacob Collier, producer; Ben Bloomberg, Jacob Collier & Paul Pouwer, engineers/mixers; Jacob Collier, songwriter; Chris Allgood & Emily Lazar, mastering engineers",Djesse Vol. 4,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Album Of The Year,"Billie Eilish & FINNEAS, producers; Thom Beemer, Jon Castelli, Billie Eilish, FINNEAS, Aron Forbes, Brad Lauchert & Chaz Sexton, engineers/mixers; Billie Eilish O'Connell & FINNEAS, songwriters; Dale Becker, mastering engineer",HIT ME HARD AND SOFT,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Album Of The Year,"Daniel Nigro, producer; Mitch McCarthy & Daniel Nigro, engineers/mixers; Daniel Nigro & Kayleigh Rose Amstutz, songwriters; Randy Merrill, mastering engineer",Chappell Roan The Rise And Fall Of A Midwest Princess,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,"Songwriter of the Year, Non-Classical",• Roulette On The Heart (Conner Smith & Hailey Whitters) (S),Jessi Alexander,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,"Songwriter of the Year, Non-Classical",• TOMMY & PAMELA (Peso Pluma & Kenia Os) (T),Edgar Barrera,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,"Songwriter of the Year, Non-Classical",• Two Hearts (Post Malone) (T),Jessie Jo Dillon,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,"Songwriter of the Year, Non-Classical",• You're Hired (NEIKED Featuring Ayra Starr) (S),RAYE,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,"Songwriter of the Year, Non-Classical","""Amy Allen""",Amy Allen,True,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,"Producer Of The Year, Non-Classical","• Spend The Night (BJ The Chicago Kid, Coco Jones) (T)",Alissia,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,"Producer Of The Year, Non-Classical",• That's You (Lucky Daye) (T),Dernst “D’Mile” Emile II,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,"Producer Of The Year, Non-Classical",• Three Little Birds (Bob Marley: One Love - Music Inspired By The Film) (Kacey Musgraves) (S),Ian Fitchuk,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,"Producer Of The Year, Non-Classical",• Parking Lot (Mustard & Travis Scott) (S),Mustard,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,"Producer Of The Year, Non-Classical","""Daniel Nigro""",Daniel Nigro,True,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
